代碼 站名 座標x 座標y
98 南港展覽館 385 292
97 南港 366 292
96 昆陽 349 292
95 後山埤 332 303
94 永春 317 312
93 市政府 297 313
92 國父紀念館 274 313
91 忠孝敦化 253 313
90 忠孝復興 229 314
89 忠孝新生 207 313
88 善導寺 180 313
86 西門 122 313
85 龍山寺 94 313
84 江子翠 65 338
83 新埔 48 356
82 板橋 30 373
81 府中 29 396
80 亞東醫院 29 417
79 海山 29 439
78 土城 29 463
77 永寧 19 483
71 淡水 28 18
70 紅樹林 28 39
69 竹圍 28 56
68 關渡 32 75
67 忠義 53 77
66 復興崗 76 77
64 北投 98 76
65 新北投 127 65
63 奇岩 113 90
62 唭哩岸 126 103
61 石牌 140 117
60 明德 152 132
59 芝山 152 152
58 士林 152 173
57 劍潭 152 193
56 圓山 152 216
55 民權西路 153 241
54 雙連 153 263
53 中山 153 285
52 台北車站 153 313
51 台北車站 153 313
50 台大醫院 153 334
48 南勢角 94 451
47 景安 109 437
46 永安市場 125 421
45 頂溪 140 406
42 中正紀念堂 153 355
41 古亭 170 373
40 台電大樓 182 390
39 公館 196 404
38 萬隆 204 421
37 景美 204 443
36 大坪林 204 465
35 七張 205 484
34 新店區公所 204 501
33 新店 205 521
32 小碧潭 174 484
31 南港展覽館 385 283
30 南港軟體園區 384 252
29 東湖 384 214
28 葫洲 384 187
27 大湖公園 364 158
26 內湖 340 143
25 文德 306 143
24 港墘 275 143
23 西湖 245 143
22 劍南路 222 158
21 大直 218 185
7 松山機場 245 234
8 中山國中 228 256
10 忠孝復興 229 313
11 大安 228 340
12 科技大樓 228 363
13 六張犁 245 377
14 麟光 267 380
15 辛亥 270 406
16 萬芳醫院 285 427
17 萬芳社區 285 426
18 木柵 340 427
19 動物園 365 426
133 忠孝新生 207 313
132 松江南京 207 275
131 行天宮 207 252
130 中山國小 186 240
129 民權西路 153 241
128 大橋頭 110 241
178 三重國小 63 238
177 三和國中 49 224
176 徐匯中學 33 208
175 三民高中 16 189
174 蘆洲 13 159
